region,lag,days_to_predict,train_last_date,avg_mae,avg_mse,mae_tot_pos,mse_tot_pos,mae_deaths,mse_deaths,mae_recovered,mse_recovered
Lombardia,9,20,20200630,26.24263038548753,9404.120181405897,35.64625850340136,12549.891156462585,0.9455782312925171,9.244897959183673,42.136054421768705,15653.224489795919
Lombardia,9,21,20200630,27.72072072072072,10227.22072072072,39.58108108108108,15045.662162162162,1.0,9.72972972972973,42.58108108108108,15626.27027027027
Lombardia,9,22,20200630,29.217002237136466,11088.841163310963,43.59060402684564,17667.96644295302,1.1006711409395973,11.38255033557047,42.95973154362416,15587.174496644295
Lombardia,9,23,20200630,30.784444444444443,12293.22,48.35333333333333,21380.606666666667,1.2466666666666666,14.833333333333334,42.75333333333333,15484.22
Lombardia,9,24,20200630,32.70860927152318,13966.774834437085,53.9271523178808,26484.70860927152,1.423841059602649,19.927152317880793,42.77483443708609,15395.688741721855
Lombardia,9,25,20200630,34.515350877192986,15508.475877192983,59.24342105263158,31198.91447368421,1.6513157894736843,28.32236842105263,42.651315789473685,15298.190789473685
Lombardia,9,26,20200630,36.75816993464053,17675.978213507628,65.50326797385621,37755.05882352941,1.9281045751633987,40.790849673202615,42.84313725490196,15232.084967320261
Lombardia,9,27,20200630,39.46103896103896,20517.62554112554,72.59740259740259,46217.454545454544,2.2532467532467533,58.08441558441559,43.532467532467535,15277.337662337663
Lombardia,9,28,20200630,42.5247311827957,23923.070967741936,80.27096774193548,56194.4,2.6258064516129034,80.93548387096774,44.67741935483871,15493.877419354838
Lombardia,9,29,20200630,45.863247863247864,27846.636752136754,88.42948717948718,67568.85256410256,3.0384615384615383,109.1923076923077,46.12179487179487,15861.865384615385
Lombardia,9,30,20200630,49.169851380042466,31789.339702760084,96.57961783439491,79058.37579617834,3.4968152866242037,144.3248407643312,47.43312101910828,16165.31847133758
Lombardia,10,5,20200630,10.095959595959595,4192.287878787879,13.68939393939394,5366.386363636364,0.3333333333333333,4.787878787878788,16.265151515151516,7205.689393939395
Lombardia,10,6,20200630,10.641604010025064,4253.353383458646,13.87218045112782,5336.894736842105,0.5037593984962406,8.729323308270677,17.548872180451127,7414.436090225564
Lombardia,10,7,20200630,11.490049751243784,4426.848258706467,15.828358208955224,5865.544776119403,0.6492537313432836,11.649253731343286,17.992537313432837,7403.3507462686575
Lombardia,10,8,20200630,11.950617283950619,4444.982716049383,16.22962962962963,5858.392592592591,0.8592592592592593,17.79259259259259,18.762962962962966,7458.762962962963
Lombardia,10,9,20200630,14.28921568627451,5590.696078431373,18.78676470588235,6789.551470588235,1.125,27.72794117647059,22.955882352941174,9954.80882352941
Lombardia,10,10,20200630,16.35036496350365,6546.875912408758,20.686131386861312,7308.175182481752,1.3795620437956204,36.985401459854025,26.98540145985401,12295.467153284673
Lombardia,10,11,20200630,17.756038647342997,7086.036231884059,21.35507246376812,7347.746376811594,1.6594202898550725,48.31159420289855,30.2536231884058,13862.050724637684
Lombardia,10,12,20200630,18.92086330935252,7516.964028776979,21.597122302158276,7316.647482014388,1.9424460431654675,60.05755395683454,33.22302158273381,15174.187050359711
Lombardia,10,13,20200630,20.295238095238094,8100.190476190477,22.014285714285716,7310.1,2.25,74.09285714285714,36.62142857142858,16916.378571428573
Lombardia,10,14,20200630,21.390070921985814,8401.678486997636,22.574468085106385,7330.602836879432,2.588652482269504,91.29787234042551,39.00709219858156,17783.13475177305
Lombardia,10,15,20200630,22.44131455399061,8598.910798122066,23.943661971830984,7610.591549295775,2.9295774647887325,108.97183098591549,40.45070422535211,18077.169014084506
Lombardia,10,16,20200630,23.592074592074592,9135.149184149182,23.81118881118881,7557.545454545455,3.2797202797202796,127.85314685314685,43.68531468531469,19720.04895104895
Lombardia,10,17,20200630,24.82638888888889,9491.469907407407,24.6875,7661.3125,3.673611111111111,151.96527777777777,46.11805555555556,20661.131944444445
Lombardia,10,18,20200630,26.078160919540228,9812.48275862069,25.986206896551725,7921.365517241379,4.068965517241379,176.57931034482758,48.179310344827584,21339.503448275864
Lombardia,10,19,20200630,27.43835616438356,10218.283105022832,27.205479452054796,8152.1506849315065,4.513698630136986,207.9794520547945,50.5958904109589,22294.719178082192
Lombardia,10,20,20200630,28.80952380952381,10607.040816326531,29.482993197278912,8988.149659863946,4.938775510204081,237.10204081632654,52.006802721088434,22595.87074829932
Lombardia,10,21,20200630,30.22972972972973,11060.36936936937,32.141891891891895,10136.398648648648,5.398648648648648,271.5067567567568,53.148648648648646,22773.202702702703
Lombardia,10,22,20200630,31.635346756152128,11521.988814317672,34.852348993288594,11344.181208053691,5.852348993288591,305.4496644295302,54.20134228187919,22916.335570469797
Lombardia,10,23,20200630,33.09111111111111,12172.673333333332,38.31333333333333,13314.66,6.3,338.94,54.66,22864.42
Lombardia,10,24,20200630,34.673289183222956,13125.238410596028,42.54304635761589,16261.774834437087,6.748344370860927,372.96026490066225,54.728476821192054,22740.98013245033
Lombardia,10,25,20200630,36.29605263157895,13984.225877192983,46.4671052631579,18841.111842105263,7.184210526315789,405.5657894736842,55.23684210526316,22706.0
Lombardia,10,26,20200630,38.01525054466231,15276.53376906318,51.34640522875817,22828.091503267973,7.607843137254902,436.797385620915,55.091503267973856,22564.712418300653
Lombardia,10,27,20200630,40.041125541125545,17077.002164502166,57.07142857142857,28332.383116883117,8.019480519480519,466.6948051948052,55.032467532467535,22431.928571428572
Lombardia,10,28,20200630,42.39784946236559,19272.152688172046,63.32258064516129,34941.051612903226,8.419354838709678,495.2967741935484,55.45161290322581,22380.109677419354
Lombardia,10,29,20200630,45.01282051282052,21850.247863247863,70.02564102564102,42600.92307692308,8.814102564102564,523.5320512820513,56.19871794871795,22426.28846153846
Lombardia,10,30,20200630,47.60084925690021,24466.738853503182,76.7515923566879,50405.2229299363,9.197452229299364,550.5222929936306,56.853503184713375,22444.471337579616
Lombardia,11,5,20200630,9.820707070707073,4036.916666666666,12.681818181818182,4756.712121212121,0.3560606060606061,5.416666666666668,16.424242424242426,7348.621212121212
Lombardia,11,6,20200630,10.338345864661651,4112.273182957393,12.669172932330827,4721.857142857143,0.5112781954887218,8.691729323308271,17.834586466165415,7606.270676691728
Lombardia,11,7,20200630,11.17412935323383,4326.800995024875,14.8955223880597,5408.417910447762,0.6268656716417911,10.537313432835822,18.0,7561.447761194029
Lombardia,11,8,20200630,11.829629629629625,4391.592592592592,15.629629629629632,5464.622222222222,0.8074074074074075,15.088888888888887,19.05185185185185,7695.0666666666675
Lombardia,11,9,20200630,14.147058823529413,5594.725490196078,17.823529411764707,6149.411764705883,1.0294117647058822,22.044117647058826,23.588235294117645,10612.720588235294
Lombardia,11,10,20200630,16.27007299270073,6708.557177615571,19.46715328467153,6535.5401459854,1.2262773722627738,27.60583941605839,28.11678832116789,13562.525547445257
Lombardia,11,11,20200630,17.71014492753623,7388.922705314008,19.83333333333333,6523.688405797101,1.4420289855072463,34.369565217391305,31.85507246376812,15608.710144927536
Lombardia,11,12,20200630,18.8968824940048,7949.822541966427,19.79136690647482,6478.1654676258995,1.640287769784173,40.1726618705036,35.2589928057554,17331.129496402882
Lombardia,11,13,20200630,20.223809523809518,8674.533333333333,19.735714285714284,6432.92142857143,1.8428571428571427,46.31428571428572,39.09285714285714,19544.364285714284
Lombardia,11,14,20200630,21.66666666666667,9167.491725768321,20.97872340425532,6656.978723404255,2.0709219858156027,54.18439716312057,41.95035460992908,20791.312056737588
Lombardia,11,15,20200630,23.08450704225352,9580.25352112676,23.077464788732396,7326.725352112676,2.288732394366197,61.471830985915496,43.88732394366197,21352.563380281692
Lombardia,11,16,20200630,24.617715617715618,10335.358974358975,23.713286713286713,7366.370629370629,2.4895104895104896,67.76223776223776,47.65034965034965,23571.944055944055
Lombardia,11,17,20200630,26.277777777777775,10973.097222222224,25.47222222222222,7848.055555555556,2.7222222222222223,76.29166666666667,50.638888888888886,24994.944444444445
Lombardia,11,18,20200630,27.960919540229884,11603.537931034482,27.662068965517243,8605.303448275861,2.9379310344827587,83.73793103448276,53.282758620689656,26121.572413793103
Lombardia,11,19,20200630,29.78310502283105,12366.20319634703,29.828767123287673,9356.883561643835,3.184931506849315,93.58219178082192,56.33561643835616,27648.14383561644
Lombardia,11,20,20200630,31.655328798185938,13194.85260770975,33.16326530612245,11132.687074829932,3.3877551020408165,100.35374149659864,58.414965986394556,28351.517006802722
Lombardia,11,21,20200630,33.59009009009009,14137.310810810812,36.939189189189186,13425.466216216217,3.608108108108108,108.43243243243244,60.222972972972975,28878.033783783783
Lombardia,11,22,20200630,35.5234899328859,15113.165548098434,40.80536912751678,15857.302013422819,3.8053691275167787,115.01342281879195,61.95973154362416,29367.18120805369
Lombardia,11,23,20200630,37.537777777777784,16377.79111111111,45.50666666666667,19461.693333333333,3.966666666666667,119.47333333333333,63.14,29552.206666666665
Lombardia,11,24,20200630,39.70640176600441,18065.286975717438,51.04635761589404,24484.62251655629,4.112582781456954,123.15894039735099,63.96026490066225,29588.079470198674
Lombardia,11,25,20200630,41.92324561403509,19675.309210526317,56.296052631578945,29065.651315789473,4.230263157894737,125.53289473684211,65.24342105263158,29834.74342105263
Lombardia,11,26,20200630,44.252723311546845,21842.31808278867,62.549019607843135,35582.666666666664,4.313725490196078,126.60130718954248,65.89542483660131,29817.686274509804
Lombardia,11,27,20200630,46.71212121212121,24652.192640692636,69.7012987012987,44149.63636363636,4.363636363636363,126.71428571428571,66.07142857142857,29680.227272727272
Lombardia,11,28,20200630,49.20860215053764,27941.638709677423,77.41935483870968,54205.16129032258,4.387096774193548,126.30967741935484,65.81935483870967,29493.44516129032
Lombardia,11,29,20200630,51.833333333333336,31680.59401709402,85.6025641025641,65609.71794871795,4.384615384615385,125.6025641025641,65.51282051282051,29306.46153846154
Lombardia,11,30,20200630,54.43949044585988,35527.985138004246,93.85350318471338,77339.34394904459,4.3630573248407645,124.80891719745223,65.10191082802548,29119.8025477707
Lombardia,12,5,20200630,10.315656565656566,4329.012626262625,14.795454545454545,6135.916666666668,0.3409090909090909,4.825757575757576,15.81060606060606,6846.295454545455
Lombardia,12,6,20200630,10.969924812030078,4399.882205513784,15.375939849624062,6153.421052631579,0.4887218045112782,7.796992481203008,17.045112781954888,7038.428571428572
Lombardia,12,7,20200630,11.601990049751242,4476.641791044776,16.71641791044776,6391.268656716418,0.6044776119402985,9.649253731343284,17.48507462686567,7029.007462686567
Lombardia,12,8,20200630,11.864197530864198,4468.767901234568,16.74074074074074,6346.88888888889,0.7851851851851852,14.207407407407407,18.066666666666666,7045.207407407407
Lombardia,12,9,20200630,14.436274509803926,5809.607843137254,20.16176470588235,8008.485294117647,1.0073529411764706,21.169117647058822,22.139705882352942,9399.16911764706
Lombardia,12,10,20200630,16.83211678832117,7010.880778588808,23.138686131386862,9287.138686131388,1.2043795620437956,26.73722627737226,26.15328467153285,11718.766423357663
Lombardia,12,11,20200630,18.487922705314013,7608.594202898551,24.818840579710145,9691.036231884058,1.420289855072464,33.507246376811594,29.22463768115942,13101.239130434782
Lombardia,12,12,20200630,19.884892086330932,8050.964028776977,26.093525179856115,9914.870503597122,1.6187050359712232,39.31654676258993,31.942446043165468,14198.705035971223
Lombardia,12,13,20200630,21.52380952380952,8669.052380952382,27.67142857142857,10279.828571428572,1.8214285714285716,45.464285714285715,35.07857142857143,15681.864285714288
Lombardia,12,14,20200630,22.430260047281322,8884.198581560284,28.063829787234038,10255.780141843972,2.0567375886524824,53.829787234042556,37.17021276595744,16342.985815602837
Lombardia,12,15,20200630,22.849765258215964,8912.568075117371,28.007042253521128,10186.37323943662,2.2746478873239435,61.11971830985915,38.267605633802816,16490.211267605635
Lombardia,12,16,20200630,24.35198135198135,9449.97435897436,29.433566433566433,10491.531468531468,2.4755244755244754,67.41258741258741,41.14685314685315,17790.979020979023
Lombardia,12,17,20200630,25.240740740740744,9659.467592592591,29.84722222222222,10473.680555555555,2.7152777777777777,76.45138888888889,43.15972222222222,18428.270833333332
Lombardia,12,18,20200630,25.84137931034483,9767.813793103449,29.848275862068967,10407.655172413793,2.9379310344827587,84.37241379310345,44.737931034482756,18811.41379310345
Lombardia,12,19,20200630,26.65753424657534,9960.438356164384,30.102739726027398,10367.116438356165,3.191780821917808,94.75342465753425,46.678082191780824,19419.445205479453
Lombardia,12,20,20200630,27.126984126984127,9979.43990929705,30.41496598639456,10335.884353741496,3.401360544217687,101.97278911564626,47.564625850340136,19500.462585034013
Lombardia,12,21,20200630,27.61261261261261,9990.896396396396,31.114864864864863,10387.371621621622,3.635135135135135,111.04054054054055,48.08783783783784,19474.277027027027
Lombardia,12,22,20200630,28.033557046979865,9989.425055928412,31.77181208053691,10429.342281879195,3.8456375838926173,118.51677852348993,48.48322147651007,19420.41610738255
Lombardia,12,23,20200630,28.451111111111114,10038.9,33.06666666666667,10700.32,4.02,123.72666666666667,48.266666666666666,19292.653333333332
